MPPS,LATENCY,FREQ,SLEEP_MODE,CPU,SLEEP_DELTA
2,91,800,no_sleep,1,1
2,92,800,no_sleep,1,1
2,93,800,no_sleep,1,1
2,94,800,no_sleep,1,1
2,95,800,no_sleep,1,1
2,96,800,no_sleep,1,1
2,97,800,no_sleep,1,1
2,98,800,no_sleep,1,1
2,99,800,no_sleep,1,1
3,10,4000,no_sleep,3,1
3,11,2400,no_sleep,8,1
3,12,3200,no_sleep,4,1
3,13,4000,no_sleep,4,1
3,14,3200,no_sleep,3,1
3,15,3200,no_sleep,2,1
3,16,800,no_sleep,2,1
3,17,800,no_sleep,2,1
3,18,3200,no_sleep,1,1
3,19,3200,no_sleep,1,1
3,20,800,no_sleep,1,1
3,21,800,no_sleep,1,1
3,22,800,no_sleep,1,1
3,23,800,no_sleep,1,1
3,24,800,no_sleep,1,1
3,25,800,no_sleep,1,1
3,26,800,no_sleep,1,1
3,27,800,no_sleep,1,1
3,28,800,no_sleep,1,1
3,29,800,no_sleep,1,1
3,30,800,no_sleep,1,1
3,31,800,no_sleep,1,1
3,32,800,no_sleep,1,1
3,33,800,no_sleep,1,1
3,34,800,no_sleep,1,1
3,35,800,no_sleep,1,1
3,36,800,no_sleep,1,1
3,37,800,no_sleep,1,1
3,38,800,no_sleep,1,1
3,39,800,no_sleep,1,1
3,40,800,no_sleep,1,1
3,41,800,no_sleep,1,1
3,42,800,no_sleep,1,1
3,43,800,no_sleep,1,1
3,44,800,no_sleep,1,1
3,45,800,no_sleep,1,1
3,46,800,no_sleep,1,1
3,47,800,no_sleep,1,1
3,48,800,no_sleep,1,1
3,49,800,no_sleep,1,1
3,50,800,no_sleep,1,1
3,51,800,no_sleep,1,1
3,52,800,no_sleep,1,1
3,53,800,no_sleep,1,1
3,54,800,no_sleep,1,1
3,55,800,no_sleep,1,1
3,56,800,no_sleep,1,1
3,57,800,no_sleep,1,1
3,58,800,no_sleep,1,1
3,59,800,no_sleep,1,1
3,60,800,no_sleep,1,1
3,61,800,no_sleep,1,1
3,62,800,no_sleep,1,1
3,63,800,no_sleep,1,1
3,64,800,no_sleep,1,1
3,65,800,no_sleep,1,1
3,66,800,no_sleep,1,1
3,67,800,no_sleep,1,1
3,68,800,no_sleep,1,1
3,69,800,no_sleep,1,1
3,70,800,no_sleep,1,1
3,71,800,no_sleep,1,1
3,72,800,no_sleep,1,1
3,73,800,no_sleep,1,1
3,74,800,no_sleep,1,1
3,75,800,no_sleep,1,1
3,76,800,no_sleep,1,1
3,77,800,no_sleep,1,1
3,78,800,no_sleep,1,1
3,79,800,no_sleep,1,1
3,80,800,no_sleep,1,1
3,81,800,no_sleep,1,1
3,82,800,no_sleep,1,1
3,83,800,no_sleep,1,1
3,84,800,no_sleep,1,1
3,85,800,no_sleep,1,1
3,86,800,no_sleep,1,1
3,87,800,no_sleep,1,1
3,88,800,no_sleep,1,1
3,89,800,no_sleep,1,1
3,90,800,no_sleep,1,1
3,91,800,no_sleep,1,1
3,92,800,no_sleep,1,1
3,93,800,no_sleep,1,1
3,94,800,no_sleep,1,1
3,95,800,no_sleep,1,1
3,96,800,no_sleep,1,1
3,97,800,no_sleep,1,1
3,98,800,no_sleep,1,1
3,99,800,no_sleep,1,1
4,10,4000,no_sleep,3,1
4,11,4000,no_sleep,10,1
4,12,3200,no_sleep,5,1
4,13,4000,no_sleep,4,1
4,14,4000,no_sleep,4,1
4,15,4000,no_sleep,4,1
4,16,4000,no_sleep,3,1
4,17,4000,no_sleep,2,1
4,18,2400,no_sleep,2,1
4,19,800,no_sleep,2,1
4,20,4000,no_sleep,2,1
4,21,4000,no_sleep,2,1
4,22,4000,no_sleep,2,1
4,23,4000,no_sleep,2,1
4,24,4000,no_sleep,2,1
4,25,4000,no_sleep,2,1
4,26,4000,no_sleep,2,1
4,27,4000,no_sleep,2,1
4,28,4000,no_sleep,2,1
4,29,4000,no_sleep,2,1
4,30,4000,no_sleep,2,1
4,31,4000,no_sleep,2,1
4,32,4000,no_sleep,2,1
4,33,4000,no_sleep,2,1
4,34,4000,no_sleep,2,1
4,35,4000,no_sleep,2,1
4,36,4000,no_sleep,2,1
4,37,4000,no_sleep,2,1
4,38,4000,no_sleep,2,1
4,39,4000,no_sleep,2,1
4,40,4000,no_sleep,2,1
4,41,4000,no_sleep,2,1
4,42,4000,no_sleep,2,1
4,43,4000,no_sleep,2,1
4,44,4000,no_sleep,2,1
4,45,4000,no_sleep,2,1
4,46,4000,no_sleep,2,1
4,47,4000,no_sleep,2,1
4,48,4000,no_sleep,2,1
4,49,4000,no_sleep,2,1
4,50,4000,no_sleep,2,1
4,51,4000,no_sleep,2,1
4,52,4000,no_sleep,2,1
4,53,4000,no_sleep,2,1
4,54,4000,no_sleep,2,1
4,55,4000,no_sleep,2,1
4,56,4000,no_sleep,2,1
4,57,4000,no_sleep,2,1
4,58,4000,no_sleep,2,1
4,59,4000,no_sleep,2,1
4,60,4000,no_sleep,2,1
4,61,4000,no_sleep,2,1
4,62,4000,no_sleep,2,1
4,63,4000,no_sleep,2,1
4,64,4000,no_sleep,2,1
4,65,4000,no_sleep,2,1
4,66,4000,no_sleep,2,1
4,67,4000,no_sleep,2,1
4,68,4000,no_sleep,2,1
4,69,4000,no_sleep,2,1
4,70,4000,no_sleep,2,1
4,71,4000,no_sleep,2,1
4,72,4000,no_sleep,2,1
4,73,4000,no_sleep,2,1
4,74,4000,no_sleep,2,1
4,75,4000,no_sleep,2,1
4,76,4000,no_sleep,2,1
4,77,4000,no_sleep,2,1
